,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,4,0.12,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,6,0.17,3,0,0,3,0,1,0.03,0,0,0,1,0,0,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,28,2.44,27,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,6,0.37,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,40,3.28,31,8,1,0,0,3,0.25,2,1,0,0,0,0,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,22,0.59,17,0,1,3,1,4,0.11,3,0,0,0,1,0,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,32,1.39,30,0,1,0,1,3,0.13,3,0,0,0,0,0,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,32,1.29,27,3,1,0,1,3,0.12,0,1,1,0,1,0,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,57,4.33,39,12,1,2,3,12,0.91,6,3,0,0,3,0,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,3,3.97,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,10,0.34,6,0,1,3,0,3,0.10,1,0,0,2,0,0,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,27,1.01,24,0,0,3,0,5,0.19,5,0,0,0,0,0,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,94,2.83,72,0,15,4,3,19,0.57,14,0,4,1,0,0,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,71,2.54,48,16,5,2,0,5,0.18,4,0,1,0,0,0,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,44,4.40,35,2,3,1,3,8,0.80,8,0,0,0,0,0,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,48,1.99,38,4,1,2,3,9,0.37,9,0,0,0,0,0,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,5,0.13,2,3,0,0,0,1,0.03,1,0,0,0,0,0,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,3,1.99,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,1,1.53,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,1,1.32,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,7,0.65,6,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,66,2.87,44,17,2,1,2,6,0.26,3,2,0,1,0,0,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,83,3.45,64,8,4,2,5,1,0.04,1,0,0,0,0,0,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,47,1.89,42,3,1,0,1,5,0.20,5,0,0,0,0,0,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,5,1.23,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,7,0.82,7,0,0,0,0,3,0.35,3,0,0,0,0,0,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,3,0.34,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,1,10.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
