,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,1313,30,326,563,511,72,1146,12,19,63.2,12,0,841,4760,2735,928,829,89.3,20,22,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,1163,26,166,616,517,68,1138,66,97,68.0,70,5,932,7366,4575,1042,889,85.3,33,35,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,218,151,33,16,48.5,5,2,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95.0,3,4,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,67,40,11,8,72.7,0,1,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,851,12,47,305,556,126,811,72,108,66.7,75,3,602,4523,2699,1134,626,55.2,71,49,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,882,47,167,412,368,49,863,31,53,58.5,33,2,593,4281,2315,732,560,76.5,37,29,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,1133,1002,1128,5,0,0,881,0,0,,0,0,681,2609,1488,646,646,100.0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,332,12,82,133,158,20,323,19,40,47.5,21,1,255,1974,1173,321,215,67.0,21,20,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,1248,29,158,502,673,168,1214,25,49,51.0,29,0,865,6213,3885,1528,939,61.5,58,39,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,2057,119,582,894,680,54,1789,46,73,63.0,46,7,1198,5613,3135,1297,1146,88.4,36,31,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,1366,30,178,671,637,136,1331,75,117,64.1,78,4,1012,7697,3824,1682,956,56.8,99,108,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,3273,131,985,1550,877,98,2878,15,24,62.5,17,1,1947,7181,4096,2231,2095,93.9,24,13,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,87,15,39,50,0,0,87,1,1,100.0,1,0,58,249,145,52,52,100.0,0,2,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,255,22,60,98,103,1,203,1,2,50.0,2,0,136,502,281,149,136,91.3,3,3,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1777,977,344,329,95.6,2,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1937,105,417,691,932,64,1641,43,67,64.2,46,0,1156,7492,3888,1250,1055,84.4,33,31,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,1130,95,343,592,240,11,898,5,8,62.5,5,0,460,2392,1196,520,488,93.8,6,7,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,779,15,93,405,339,43,769,33,42,78.6,34,1,650,3910,1859,695,618,88.9,20,37,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,435,15,45,195,213,55,426,11,17,64.7,13,0,257,1055,452,706,298,42.2,41,20,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,1019,14,104,414,592,134,1016,37,78,47.4,43,4,781,6326,4327,1114,823,73.9,50,40,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,1951,249,801,879,368,42,1788,27,32,84.4,27,0,962,5324,2915,989,905,91.5,20,15,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,30,19,7,4,57.1,1,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,120,2,13,54,61,32,114,4,8,50.0,6,0,84,522,300,181,87,48.1,10,4,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1939,260,947,1009,45,17,1878,2,2,100.0,2,0,896,3872,1855,966,953,98.7,5,1,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2887,1810,548,500,91.2,11,16,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,315,50,166,134,27,7,300,0,0,,0,0,144,477,235,162,157,96.9,0,3,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,248,12,105,138,22,0,228,0,0,,0,0,132,728,372,162,155,95.7,0,0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,482,24,142,301,56,2,471,6,8,75.0,6,1,266,1065,416,299,288,96.3,1,4,Matches
