,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,1389,1841,75.4,23969,8730,17,73,23.3,1152,1352,85.2,220,416,52.9,0,1.2,-1.2,18,112,21,8,149,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,625,763,81.9,9863,3368,14,32,43.8,529,600,88.2,82,131,62.6,0,0.5,-0.5,7,22,5,0,61,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,121,165,73.3,3403,2177,0,0,,72,72,100.0,49,93,52.7,0,0.0,0.0,0,0,0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,826,953,86.7,18611,5548,7,17,41.2,527,579,91.0,292,357,81.8,1,0.2,+0.8,2,34,2,0,40,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,393,594,66.2,5941,1307,13,38,34.2,332,482,68.9,48,74,64.9,1,1.0,0.0,15,33,13,3,43,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,100.0,44,11,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,1008,1147,87.9,18391,5052,6,25,24.0,808,882,91.6,194,240,80.8,0,1.7,-1.7,15,99,23,3,102,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,884,1106,79.9,13330,3041,38,74,51.4,744,860,86.5,102,172,59.3,2,2.7,-0.7,36,72,21,1,81,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1158,1430,81.0,24229,6420,21,40,52.5,827,955,86.6,310,435,71.3,3,3.0,0.0,19,129,9,1,137,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,134,207,64.7,2212,482,7,15,46.7,104,150,69.3,23,42,54.8,4,1.7,+2.3,11,12,9,2,17,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,1177,1445,81.5,17880,5888,28,77,36.4,1034,1190,86.9,115,178,64.6,2,0.9,+1.1,19,52,21,5,135,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,719,864,83.2,15703,4906,7,14,50.0,471,521,90.4,241,329,73.3,0,0.0,0.0,1,38,3,1,44,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1096,1301,84.2,22106,5541,8,44,18.2,791,854,92.6,297,403,73.7,2,1.8,+0.2,29,120,30,2,122,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,263,358,73.5,4592,1235,7,22,31.8,215,264,81.4,41,72,56.9,1,1.2,-0.2,8,24,4,0,39,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,702,865,81.2,14269,4325,7,31,22.6,503,571,88.1,192,263,73.0,1,0.7,+0.3,4,36,5,2,62,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1528,1956,78.1,26142,8359,18,73,24.7,1290,1471,87.7,220,412,53.4,3,3.5,-0.5,36,96,23,12,162,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,9,14,64.3,136,35,0,2,0.0,9,11,81.8,0,1,0.0,0,0.0,0.0,0,0,0,0,2,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,428,494,86.6,7799,1521,9,21,42.9,329,365,90.1,90,108,83.3,1,0.1,+0.9,3,30,2,0,20,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26592,6425,7,16,43.8,715,745,96.0,444,497,89.3,0,1.1,-1.1,4,79,2,0,45,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,253,322,78.6,5411,2056,3,6,50.0,175,201,87.1,75,115,65.2,0,0.0,0.0,1,20,2,0,24,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,5,7,71.4,73,7,0,0,,4,6,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,366,470,77.9,5942,1964,17,25,68.0,297,338,87.9,52,107,48.6,0,0.5,-0.5,14,35,13,4,53,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,1531,1782,85.9,42431,14933,10,23,43.5,758,809,93.7,763,950,80.3,0,0.7,-0.7,5,117,7,0,57,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,813,1058,76.8,14368,6102,10,54,18.5,665,773,86.0,138,231,59.7,1,0.5,+0.5,8,66,13,4,117,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,126,163,77.3,1737,243,12,21,57.1,96,119,80.7,18,23,78.3,1,0.3,+0.7,6,6,2,0,10,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,560,719,77.9,11160,3293,7,28,25.0,413,487,84.8,140,204,68.6,0,0.9,-0.9,13,61,11,1,70,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,993,1222,81.3,22730,7506,6,22,27.3,626,703,89.0,361,497,72.6,0,0.3,-0.3,3,49,3,0,65,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,743,933,79.6,12442,2768,34,62,54.8,586,688,85.2,123,183,67.2,0,0.7,-0.7,10,57,7,1,62,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1241,1681,73.8,21623,10692,18,88,20.5,1005,1151,87.3,218,442,49.3,0,2.0,-2.0,23,115,22,15,217,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,38,56,67.9,487,66,2,2,100.0,36,49,73.5,0,5,0.0,0,0.0,0.0,1,2,0,0,1,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,51,64,79.7,887,248,1,2,50.0,40,47,85.1,10,15,66.7,0,0.0,0.0,0,1,0,0,2,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,35,49,71.4,698,323,3,3,100.0,24,29,82.8,8,17,47.1,0,0.1,-0.1,2,4,1,1,4,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,461,555,83.1,9842,4104,7,17,41.2,332,373,89.0,122,165,73.9,1,0.5,+0.5,5,24,0,0,36,Matches
